trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.9, 'e': 0.20849246173476124}",30,12,22.847556999678147,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.9, 'e': 0.2064075371174136}",20,9,18.005743305006494,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.9, 'e': 0.2043434617462395}",20,0,20.461530420725236,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.9, 'e': 0.2023000271287771}",30,18,21.924415776228503,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.9, 'e': 0.2002770268574893}",30,6,-10.718795590361953,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
161,False,"{'a': 0.9, 'e': 0.19827425658891443}",25,8,-69.228186224934,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
162,False,"{'a': 0.9, 'e': 0.19629151402302528}",30,13,29.912493083667208,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.9, 'e': 0.19432859888279502}",30,13,-46.01402326095913,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
164,False,"{'a': 0.9, 'e': 0.19238531289396707}",30,14,-38.4807194394044,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
165,False,"{'a': 0.9, 'e': 0.1904614597650274}",20,0,-33.23817945188556,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
166,False,"{'a': 0.9, 'e': 0.1885568451673771}",25,0,-22.462249018984238,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
167,False,"{'a': 0.9, 'e': 0.18667127671570335}",20,14,13.669839184324255,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.9, 'e': 0.1848045639485463}",20,8,20.467491566101558,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.9, 'e': 0.18295651830906084}",25,15,-27.202461582145084,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.9, 'e': 0.18112695312597024}",25,0,18.77193587651773,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
171,False,"{'a': 0.9, 'e': 0.17931568359471053}",20,6,20.634006744914867,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.9, 'e': 0.17752252675876343}",25,5,18.734940742427415,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.9, 'e': 0.1757473014911758}",30,20,19.20843344286819,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.9, 'e': 0.173989828476264}",20,0,-45.65467708277356,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
175,False,"{'a': 0.9, 'e': 0.1722499301915014}",20,3,20.933083701464007,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.9, 'e': 0.17052743088958636}",25,0,19.920510449085544,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
177,False,"{'a': 0.9, 'e': 0.1688221565806905}",30,0,1.9766693874783068,"{0: 26, 1: 3, 2: 0, 3: 1, 4: 0}",0
178,False,"{'a': 0.9, 'e': 0.1671339350148836}",20,12,-6.745577055774442,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
179,False,"{'a': 0.9, 'e': 0.16546259566473476}",30,6,-26.673742804072692,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
180,False,"{'a': 0.9, 'e': 0.16380796970808742}",25,18,11.941955265304635,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.9, 'e': 0.16216989001100654}",30,7,38.54140657540035,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.9, 'e': 0.16054819111089647}",30,0,3.6895333839003284,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
183,False,"{'a': 0.9, 'e': 0.1589427091997875}",20,10,14.538286023112,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.9, 'e': 0.15735328210778962}",20,9,-3.709050020483078,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
185,False,"{'a': 0.9, 'e': 0.15577974928671173}",20,0,22.716261703924783,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
186,False,"{'a': 0.9, 'e': 0.1542219517938446}",25,11,22.591151088651632,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.9, 'e': 0.15267973227590617}",20,13,-1.397560893120916,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.9, 'e': 0.1511529349531471}",20,11,2.0758509654496686,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
